scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option,-0.402,-2.7,1.403,-0.102,1.798,1.217,0.859,0.47,-0.39,-0.608,0.144,-0.677,-1.328,-0.596,2.97,-2.04,-0.254,0.056,1.323,-0.583,0.717,1.735,1.684,1.432,-0.26,0.721,0.925,-0.381,2.745,1.296,1.869,0.34,-0.251,0.425,0.501,0.172,0.105,1.278,0.633,1.917,1.455,0.9,0.772,-0.493,-0.118,1.471,0.532,0.478,-1.082,-1.288,0.851,0.529,0.528,-0.074,0.341,1.033,0.36,-0.154,0.646,-0.332,-0.94,0.703,0.229,-0.865,-0.916,0.401,0.35,1.076,1.037,1.169
Baroda BNP Paribas GILT FUND - Regular Plan - IDCW Option,-0.401,-2.7,1.403,-0.101,1.798,1.217,0.859,0.47,-0.39,-0.609,0.144,-0.677,-1.327,-0.596,-4.725,-2.04,-0.255,0.056,1.323,-0.583,0.717,1.735,1.684,1.431,-0.26,0.721,0.926,-0.381,2.745,1.296,1.869,0.34,-0.252,0.425,0.501,0.172,0.106,1.278,-0.281,1.917,1.455,0.9,0.772,-0.493,-0.119,1.471,0.532,0.478,-1.082,-1.288,-3.5,0.529,0.528,-0.075,0.341,1.034,0.36,-0.154,0.646,-0.333,-0.94,0.704,-4.894,-0.864,-0.916,0.401,0.076,1.943,1.394,0.189
Baroda BNP Paribas Short Duration Fund - Direct Plan - Quarterly IDCW,,,,0.154,0.634,0.699,0.753,0.752,-1.197,0.521,0.41,-1.331,0.211,0.513,-0.555,0.194,0.253,0.575,-0.776,0.564,-1.457,0.547,1.036,-0.733,0.552,0.617,-0.712,0.156,1.306,-1.158,1.348,0.711,0.235,-0.34,0.733,-1.063,0.751,0.962,0.666,-0.854,0.746,0.269,1.101,0.37,-0.85,0.776,0.514,-0.963,-0.139,0.076,-0.124,0.489,0.459,-0.749,0.537,0.645,-0.933,0.146,0.405,-0.827,0.157,0.492,-0.811,-0.265,-0.889,-0.871,0.086,0.53,0.728,0.409
Baroda BNP Paribas Short Duration Fund - Regular Plan - Quarterly IDCW,,,,0.198,0.572,0.644,0.699,0.693,-1.252,0.071,-0.72,-1.512,0.15,0.456,-0.611,0.146,0.193,0.518,-0.843,0.503,-1.522,0.487,0.982,-0.796,0.499,0.572,-0.676,0.11,1.257,-1.229,1.289,0.656,0.184,-0.415,0.668,-1.137,0.694,0.914,0.611,-0.906,0.692,0.185,1.039,0.312,-0.937,0.718,0.452,-1.058,-0.202,0.017,-0.21,0.433,0.396,-0.831,0.479,0.586,-0.931,0.088,0.349,-0.822,0.103,0.441,-0.904,-0.311,-0.944,-0.874,0.007,0.539,0.734,0.033
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan - Daily IDCW,,,,,,,,,,,,,,,,,,0.139,0.168,0.155,0.141,0.128,0.114,0.101,0.087,0.074,0.06,0.047,0.033,0.02,0.223,0.054,0.039,0.025,0.01,-0.004,-0.019,-0.034,-0.048,-0.063,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.003,0.003,0.003,0.002,0.001,0.001,0.001,0.0,-0.001,-0.001,-0.001,-0.002,0.002,-0.004,-0.011,-0.017,0.017,0.031,0.004,0.059,1.82
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan - Growth,,,,,,,,,,,,,,,,,,0.636,0.675,0.645,0.516,0.664,0.631,0.665,0.584,0.571,0.706,0.46,0.798,0.467,0.826,0.569,0.5,0.637,0.432,0.423,0.47,0.512,0.271,0.486,0.722,0.387,0.322,0.261,0.297,0.389,0.302,0.248,0.174,0.258,0.4,0.321,0.252,0.274,0.354,0.312,0.198,0.283,0.336,0.321,0.31,0.302,0.371,0.236,-0.017,0.405,0.432,0.033,0.181,8.268
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Daily IDCW,,,,,,,,,,,,,,,,,,0.067,0.171,0.166,0.162,0.157,0.152,0.147,0.143,0.138,0.133,0.128,0.124,0.119,0.114,0.066,0.032,0.154,0.032,0.014,-0.005,-0.023,-0.042,-0.06,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,-0.0,-0.0,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,0.003,-0.0,-0.004,-0.007,0.007,0.043,0.005,0.068,2.191
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Growth,,,,,,,,,,,,,,,,,,0.646,0.688,0.658,0.531,0.689,0.655,0.687,0.6,0.582,0.715,0.474,0.812,0.481,0.841,0.583,0.514,0.652,0.446,0.438,0.485,0.525,0.286,0.5,0.736,0.402,0.337,0.275,0.311,0.403,0.317,0.264,0.19,0.272,0.416,0.334,0.267,0.294,0.374,0.332,0.218,0.303,0.353,0.337,0.325,0.316,0.387,0.248,-0.007,0.415,0.447,0.033,0.181,8.555
Baroda BNP Paribas Balanced Advantage Fund-Direct Plan-Growth Option,,,,,,,,,,,,,,,,,,,,,,,0.997,0.396,0.887,-0.195,4.207,0.188,1.692,-0.461,-2.685,1.427,3.235,3.687,0.533,0.618,1.229,-1.221,-13.163,11.902,4.533,3.975,6.69,5.519,0.781,1.239,7.686,2.968,0.412,1.982,0.469,0.067,2.336,1.5,2.506,3.0,1.638,1.91,-1.113,1.896,-1.503,-2.7,3.731,-2.405,-2.976,-3.114,1.234,13.385,3.659,1.168
Baroda BNP Paribas Balanced Advantage Fund-Direct Plan-IDCW Option,,,,,,,,,,,,,,,,,,,,,,,0.997,0.396,0.887,-0.195,4.207,0.188,1.692,-0.461,-2.685,1.427,3.235,3.687,0.533,0.618,1.229,-1.221,-13.163,11.902,4.533,3.975,6.69,5.519,0.781,1.239,7.686,2.968,0.412,1.982,-6.971,0.072,2.379,1.479,2.498,2.969,1.704,1.869,-1.075,1.854,-1.498,-2.725,-2.602,-2.405,-2.976,-3.114,0.921,15.031,3.877,0.823
