scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Kotak Debt Hybrid - Monthly Payout of Income Distribution cum capital withdrawal option,1.323,-2.175,1.73,0.15,0.625,0.289,0.369,-0.541,-1.141,1.001,-0.843,-0.376,-1.559,-1.897,0.174,-1.632,-1.857,-1.316,1.662,0.061,-3.952,-1.124,0.742,0.096,-1.0,-0.394,2.523,-1.07,0.717,-0.533,-1.243,-0.479,1.128,1.341,0.177,0.098,-0.526,-0.481,-7.216,4.635,1.845,2.028,1.534,1.544,-0.392,0.638,3.792,1.907,-0.229,0.378,-0.343,0.269,1.538,-0.151,0.559,0.436,1.504,0.179,-1.282,-0.656,-0.74,-2.325,1.162,-1.648,-2.491,-1.674,-0.078,2.972,1.724,-0.157
Kotak Debt Hybrid - Monthly Payout of Income Distribution cum capital withdrawal option - Direct,1.375,-2.136,1.772,0.164,0.666,0.311,0.449,-0.412,-1.065,1.082,-0.759,-0.289,-1.465,-1.813,0.256,-1.581,-1.803,-1.274,1.715,0.143,-3.908,-1.071,0.797,0.15,-0.942,-0.341,2.584,-1.021,0.766,-0.485,-1.188,-0.44,1.176,1.395,0.225,0.151,-0.476,-0.445,-7.171,4.676,1.895,2.081,1.587,1.599,-0.338,0.691,3.848,1.969,-0.169,0.427,-0.293,0.307,1.605,-0.086,0.632,0.513,1.579,0.262,-1.206,-0.583,-0.67,-2.267,1.236,-1.591,-2.418,-1.604,-0.019,2.969,1.723,-0.038
Kotak Equity Hybrid - Growth,5.446,1.315,2.71,1.918,0.826,-0.582,2.071,-1.209,-1.352,3.886,0.366,3.134,0.852,-3.515,-1.673,2.653,-1.684,-1.667,3.73,1.735,-6.975,-3.195,3.443,1.372,-1.979,0.278,6.605,0.54,3.746,-0.93,-5.74,0.12,5.271,4.164,1.243,1.638,1.511,-3.386,-23.132,13.795,3.906,6.074,4.255,4.974,1.31,2.602,9.797,4.664,1.943,6.504,1.276,-0.22,4.829,2.107,1.266,2.612,2.284,2.225,-1.739,1.243,0.388,-3.978,4.772,-1.536,-2.513,-3.008,1.112,21.125,4.596,0.838
Kotak Equity Hybrid - Growth - Direct,5.583,1.436,2.84,2.024,0.951,-0.467,2.189,-1.081,-1.239,4.013,0.487,3.265,0.983,-3.401,-1.559,2.761,-1.573,-1.582,3.822,1.829,-6.893,-3.106,3.543,1.469,-1.887,0.375,6.719,0.64,3.852,-0.838,-5.64,0.218,5.373,4.268,1.334,1.742,1.613,-3.3,-23.026,13.912,4.005,6.188,4.363,5.081,1.421,2.704,9.906,4.78,2.052,6.61,1.39,-0.111,4.937,2.221,1.379,2.734,2.403,2.349,-1.627,1.362,0.503,-3.878,4.894,-1.429,-2.399,-2.893,1.221,21.154,4.599,0.92
Kotak Equity Hybrid - Payout of Income Distribution cum  capital withdrawal option - Direct,4.904,0.787,2.209,1.407,0.338,-1.077,1.521,-1.695,-1.852,3.387,-0.273,2.502,0.214,-4.141,-2.318,1.904,-2.398,-2.411,2.973,1.002,-7.701,-3.102,2.695,0.633,-2.713,0.371,6.032,0.637,3.855,-1.837,-5.638,0.218,4.367,4.272,1.332,0.747,1.615,-3.302,-23.028,13.915,4.007,6.187,4.359,5.078,0.909,2.707,9.903,4.265,2.052,6.612,1.387,-0.112,4.938,2.221,1.38,2.736,2.403,2.35,-1.627,1.36,0.504,-3.878,4.892,-1.428,-2.396,-2.895,0.883,21.334,4.619,0.662
Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,4.725,0.631,2.048,1.259,0.171,-1.233,1.355,-1.864,-2.013,3.213,-0.453,2.305,0.029,-4.321,-2.499,1.795,-2.503,-2.498,2.887,0.902,-7.779,-4.047,2.595,0.531,-2.809,-0.55,5.91,0.542,3.75,-1.93,-5.738,0.116,4.275,4.166,1.242,0.648,1.513,-3.38,-23.128,13.791,3.907,5.547,4.257,4.975,0.801,2.596,9.792,4.151,1.941,6.507,1.272,-0.219,4.827,2.11,1.264,2.618,2.279,2.228,-1.741,1.244,0.39,-3.979,4.774,-1.533,-2.514,-3.006,0.729,21.369,4.623,0.546
Kotak Equity Arbitrage Fund - Growth,0.322,0.496,0.561,0.312,0.543,0.521,0.547,0.538,0.549,0.318,0.652,0.321,0.619,0.515,0.449,0.378,0.597,0.424,0.451,0.343,0.499,0.799,0.526,0.363,0.605,0.313,0.515,0.748,0.756,0.388,0.6,0.546,0.242,0.66,0.359,0.378,0.482,0.593,0.514,0.476,0.443,0.06,0.092,0.196,0.401,0.457,0.187,0.286,0.185,0.311,0.416,0.481,0.387,0.473,0.349,0.311,0.179,0.235,0.457,0.213,0.36,0.466,0.144,0.404,0.313,0.241,0.422,0.025,0.158,9.252
Kotak Equity Arbitrage Fund - Growth - Direct,0.362,0.535,0.6,0.347,0.584,0.559,0.585,0.579,0.585,0.354,0.691,0.362,0.659,0.547,0.484,0.415,0.635,0.46,0.49,0.382,0.535,0.842,0.566,0.402,0.646,0.349,0.555,0.786,0.794,0.425,0.641,0.585,0.281,0.706,0.401,0.423,0.527,0.63,0.559,0.519,0.484,0.104,0.137,0.24,0.447,0.502,0.232,0.334,0.235,0.357,0.466,0.528,0.432,0.521,0.395,0.359,0.227,0.284,0.505,0.26,0.407,0.508,0.192,0.449,0.362,0.29,0.464,0.024,0.156,10.303
Kotak Equity Arbitrage Fund - Payout of Income Distribution cum capital withdrawal option,0.052,-0.007,0.072,-0.099,-0.01,-0.028,0.08,-0.085,0.112,-0.132,0.14,-0.13,0.136,-0.021,-0.569,-0.139,0.055,-0.054,0.022,-0.123,0.062,0.16,-0.104,-0.025,0.06,-0.065,0.167,0.121,0.026,-0.193,0.06,-0.089,-0.087,0.262,-0.077,0.021,0.047,0.153,-0.267,0.218,-0.063,-0.202,0.002,0.006,0.109,0.125,-0.222,-0.011,-0.054,0.076,0.224,-0.145,0.188,0.043,0.017,-0.003,-0.147,0.183,0.039,-0.183,0.188,-0.041,-0.004,0.105,-0.118,-0.105,-0.004,0.019,0.139,-0.1
Kotak Equity Arbitrage Fund - Payout of Income Distribution cum capital withdrawal option - Direct,0.057,-0.006,0.599,0.347,0.584,-1.599,0.084,0.578,-0.554,-0.131,0.378,0.104,0.658,0.381,-0.575,-0.148,0.051,-0.054,0.024,-0.129,0.073,0.164,-0.114,-0.025,0.054,-0.065,0.172,0.786,0.794,-1.277,0.117,-0.031,-0.038,0.321,0.326,0.423,0.297,0.149,-0.265,0.211,-0.064,-0.197,-0.006,0.007,0.111,0.117,-0.222,-0.017,-0.048,0.076,0.228,-0.155,0.188,0.048,0.018,-0.068,-0.155,0.188,0.043,-0.191,0.189,-0.041,-0.012,0.106,-0.116,-0.112,0.04,0.139,0.373,0.371
