scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Sundaram Rural and Consumption Fund Regular Plan - Growth,7.554,1.896,3.586,4.12,2.043,-0.385,2.574,1.271,-2.86,6.734,-1.032,4.03,-1.816,-3.288,-2.794,5.332,-2.167,-3.411,4.501,3.537,-11.006,-2.186,4.391,2.213,-3.503,0.04,5.899,-1.697,2.045,-2.709,-7.606,2.545,6.542,4.584,-0.223,0.099,4.498,-2.856,-26.536,14.01,6.258,4.734,3.281,6.824,-0.483,-0.783,11.968,6.279,-0.351,3.786,-0.291,-2.535,5.305,4.192,2.003,3.643,2.092,2.872,-4.922,0.809,-0.342,-3.471,2.278,1.115,-2.249,-2.054,1.029,29.596,5.44,0.655
Sundaram Rural and Consumption Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),7.553,-0.534,3.588,4.12,-0.238,-0.385,2.573,-0.998,-2.86,6.733,-3.148,4.03,-1.816,-3.288,-11.533,5.331,-4.489,-3.411,4.501,1.033,-11.005,-2.186,1.55,2.213,-3.503,-2.816,5.898,-1.697,-0.762,-2.708,-7.606,0.753,6.541,4.584,-0.223,-1.64,4.499,-2.856,-28.107,14.009,6.257,4.734,3.281,6.824,-0.483,-0.784,11.967,6.279,-0.351,3.786,-0.291,-9.204,5.305,4.192,2.003,3.644,2.092,2.872,-4.921,0.808,-0.342,-3.471,2.278,1.115,-2.25,-2.054,0.379,34.807,5.9,0.223
Sundaram Diversified Equity (ELSS) Direct Plan - Growth,8.754,2.759,2.615,4.964,1.042,-0.001,3.595,-1.105,-1.047,4.161,-0.019,4.537,0.645,-4.565,-3.838,6.343,-2.709,-2.152,3.714,2.925,-9.831,-2.562,2.276,1.447,-2.042,0.411,7.212,-0.532,3.407,-2.692,-9.106,0.371,6.24,4.402,0.425,0.52,1.206,-3.435,-28.776,14.941,5.048,6.75,5.509,6.053,0.382,0.153,13.096,6.133,2.323,5.845,0.408,-1.734,5.823,2.801,2.992,5.888,1.715,2.728,-3.666,2.299,-0.239,-5.557,5.688,-2.385,-2.315,-3.923,1.156,33.521,5.79,0.692
Sundaram Diversified Equity (ELSS) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),8.752,2.75,-0.986,4.964,1.043,-3.304,3.595,-1.105,-4.292,4.162,-0.019,1.05,0.644,-4.562,-7.219,6.343,-2.709,-5.597,3.714,2.926,-13.216,-2.56,2.277,1.446,-2.042,0.411,7.213,-0.533,3.407,-2.691,-9.107,0.371,6.241,4.402,0.426,0.519,1.207,-3.435,-28.776,14.942,5.048,6.751,5.509,6.053,0.382,0.154,13.097,3.878,2.323,5.845,-2.375,-1.734,5.823,-0.01,2.993,5.888,-1.078,2.728,-3.667,-0.582,-0.239,-5.555,2.85,-2.385,-2.314,-6.711,0.505,36.446,6.037,0.29
Sundaram Diversified Equity (ELSS) Regular Plan - Growth,8.728,2.706,2.566,4.924,0.989,-0.052,3.534,-1.166,-1.099,4.102,-0.076,4.477,0.584,-4.616,-3.887,6.299,-2.75,-2.194,3.667,2.881,-9.869,-2.608,2.241,1.411,-2.079,0.377,7.17,-0.56,3.378,-2.718,-9.133,0.343,6.212,4.371,0.395,0.486,1.172,-3.47,-28.801,14.922,5.019,6.718,5.478,6.023,0.353,0.125,13.065,6.101,2.292,5.816,0.359,-1.801,5.751,2.729,2.954,5.858,1.686,2.697,-3.695,2.253,-0.291,-5.601,5.63,-2.435,-2.372,-3.975,1.115,33.526,5.79,0.667
Sundaram Diversified Equity (ELSS) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),8.728,2.706,-1.092,4.923,0.989,-3.416,3.534,-1.165,-4.416,4.099,-0.075,0.908,0.584,-4.616,-7.353,6.299,-2.751,-5.745,3.667,2.881,-13.36,-2.609,2.242,-2.92,-2.079,0.377,4.431,-0.56,3.378,-5.628,-9.134,0.343,6.211,4.371,0.396,-2.212,1.171,-3.47,-28.801,14.922,5.02,6.717,5.478,6.022,0.354,0.124,13.064,3.877,2.292,5.816,-2.476,-1.801,5.751,-0.08,2.954,5.857,-1.109,2.697,-3.695,-0.63,-0.291,-5.602,2.792,-2.435,-2.373,-6.76,0.262,36.769,6.064,0.15
Sundaram Medium Term Bond Fund Direct Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),0.636,-1.331,-3.58,0.393,1.226,1.197,1.187,0.76,0.071,0.285,0.04,0.01,-0.1,0.112,-3.135,-0.602,-0.023,0.543,1.108,0.194,-0.167,0.551,1.051,0.889,0.246,0.641,-3.165,-0.316,1.465,0.333,1.712,0.491,0.148,0.887,0.646,0.267,0.684,1.322,-5.71,-0.361,1.97,1.377,1.092,-0.1,0.064,1.066,0.505,0.331,-0.694,-0.382,-3.785,0.6,0.357,-0.054,0.441,0.706,0.323,-0.06,0.376,-0.042,-0.412,0.706,-1.881,-0.783,-1.388,0.558,0.023,1.82,1.349,0.059
Sundaram Medium Term Bond Fund Direct Plan - Growth,0.637,-1.331,1.219,0.393,1.216,1.197,1.187,0.76,0.071,0.286,0.04,0.01,-0.1,0.111,1.574,-0.603,-0.022,0.543,1.108,0.193,-0.167,0.551,1.051,0.889,0.246,0.641,1.476,-0.316,1.465,0.333,1.712,0.491,0.148,0.887,0.646,0.267,0.684,1.322,-1.309,-0.361,1.97,1.377,1.092,-0.1,0.064,1.066,0.505,0.331,-0.694,-0.382,0.641,0.6,0.357,-0.053,0.441,0.706,0.323,-0.061,0.376,-0.042,-0.412,0.706,0.346,-0.781,-1.385,0.56,0.404,0.504,0.71,1.971
Sundaram Medium Term Bond Fund Direct Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),0.643,-1.331,0.449,0.394,2.252,0.453,1.187,0.76,-0.657,0.286,0.04,-0.718,-0.1,0.112,0.841,-0.603,-0.022,-0.186,1.108,0.193,-0.889,0.552,1.051,0.173,0.246,0.641,0.767,-0.316,1.464,-0.359,1.712,0.491,-0.53,0.888,0.646,-0.403,0.684,1.322,-1.969,-0.361,1.97,1.377,0.441,-0.1,-0.585,1.065,0.505,-0.312,-0.694,-0.382,-0.01,0.6,0.357,-0.696,0.441,0.706,0.004,-0.06,0.375,-0.36,-0.413,0.707,0.346,-0.783,-1.388,0.558,0.221,0.627,0.792,0.967
Sundaram Medium Term Bond Fund Institutional Plan - Growth,0.57,-1.392,1.151,0.339,1.149,1.133,1.123,0.692,0.01,0.222,-0.047,-0.082,-0.202,0.019,1.484,-0.681,-0.126,0.451,1.008,0.094,-0.26,0.449,0.989,0.841,0.188,0.588,1.423,-0.371,1.408,0.277,1.649,0.433,0.092,0.82,0.573,0.188,0.605,1.256,-1.384,-0.417,1.897,1.306,1.021,-0.168,-0.006,1.0,0.437,0.259,-0.766,-0.446,0.52,0.531,0.268,-0.136,0.36,0.622,0.24,-0.146,0.292,-0.125,-0.492,0.631,0.266,-0.852,-1.469,0.475,0.33,0.507,0.712,1.606
