scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
PGIM India Ultra Short Duration Fund - Direct Plan - Monthly Dividend,0.017,-0.053,0.003,0.436,-0.003,0.602,0.05,-0.023,0.464,-0.062,-0.103,-0.18,-0.112,-0.049,0.231,0.275,-0.155,0.691,0.053,0.608,0.458,0.046,0.861,0.275,0.024,0.152,0.692,-1.233,1.684,1.384,1.697,1.496,1.824,0.055,0.526,-0.071,0.514,0.415,0.084,0.021,0.398,0.081,0.391,-0.176,-0.112,0.457,-0.063,-0.083,-0.186,-0.06,-0.056,0.298,-0.103,-0.102,0.36,-0.03,-0.182,-0.14,-0.067,0.295,-0.041,-0.009,0.06,0.278,-0.206,0.071,0.222,0.257,0.507,1.517
PGIM India Ultra Short Duration Fund - Direct Plan - Weekly Dividend,0.037,0.012,0.061,0.026,0.031,-0.019,0.022,0.087,-0.032,-0.004,0.014,0.038,0.061,-0.018,0.125,-0.109,0.09,-0.061,0.036,0.023,0.015,0.017,0.163,0.034,-0.146,0.248,-0.094,-0.827,1.152,0.019,0.303,0.151,-0.34,0.112,-0.032,0.025,0.013,0.039,0.124,-0.225,-0.028,0.056,-0.02,0.025,0.045,-0.019,-0.01,0.075,-0.077,-0.007,0.038,0.047,0.017,0.013,0.02,0.048,-0.025,-0.029,0.025,0.049,-0.014,0.008,0.058,0.019,0.047,0.025,0.024,0.039,0.196,0.424
PGIM India Ultra Short Duration Fund - Growth,0.591,0.52,0.581,0.412,0.571,0.586,0.624,0.55,0.442,0.509,0.468,0.392,0.458,0.523,0.805,0.259,0.416,0.671,0.622,0.587,0.367,0.612,0.843,0.842,0.588,0.719,0.673,-0.669,1.665,1.951,2.258,1.945,1.809,0.555,0.506,0.395,0.475,0.379,0.549,0.466,0.879,0.557,0.358,0.259,0.323,0.426,0.288,0.267,0.164,0.294,0.296,0.27,0.25,0.249,0.326,0.325,0.17,0.212,0.287,0.26,0.245,0.279,0.339,0.241,0.073,0.35,0.538,0.212,0.461,4.043
PGIM India Ultra Short Duration Fund - Monthly Dividend,0.029,-0.038,0.015,0.412,0.009,0.586,0.063,-0.01,0.445,-0.051,0.048,-0.028,-0.007,0.524,0.805,0.258,0.416,0.672,0.167,0.586,0.367,0.611,0.844,0.842,0.588,0.72,0.674,-0.668,1.666,1.523,1.836,1.944,1.809,0.077,0.506,-0.082,0.475,0.381,0.079,0.03,0.403,0.083,0.358,-0.173,-0.236,0.425,-0.061,-0.082,-0.185,-0.056,-0.053,0.271,-0.099,-0.101,0.326,-0.026,-0.18,-0.14,-0.058,0.261,-0.083,-0.042,0.018,0.24,-0.248,0.029,0.299,0.273,0.523,1.98
PGIM India Ultra Short Duration Fund - Weekly Dividend,0.036,0.013,0.06,0.023,0.03,-0.003,0.021,0.085,-0.033,-0.003,0.013,0.002,0.059,-0.017,0.125,-0.11,0.088,-0.061,0.036,0.021,0.014,0.015,0.154,0.035,-0.149,0.247,-0.093,-0.833,1.157,0.02,0.301,0.213,-0.339,0.112,-0.039,0.022,0.011,0.032,0.122,-0.222,-0.028,0.052,-0.02,0.024,0.043,-0.021,-0.01,0.071,-0.073,-0.006,0.036,0.046,0.015,0.011,0.018,0.044,-0.027,-0.025,0.024,0.046,-0.016,0.011,0.057,0.015,0.044,0.024,0.023,0.039,0.198,0.402
PGIM India Low Duration Fund - DAILY DIV,-0.106,-0.042,-0.04,-0.038,-0.035,-0.033,-0.031,-0.029,-0.027,-0.025,-0.022,-0.02,-0.018,0.018,-0.044,-0.106,-0.028,0.023,0.01,-0.003,-0.016,-0.028,-0.041,-0.054,-0.067,0.067,-0.016,-0.1,0.08,-16.049,1.098,0.871,0.609,0.824,0.569,0.41,0.565,0.376,0.423,-0.711,0.589,0.544,-1.75,0.274,0.471,0.519,0.447,0.343,0.084,0.314,0.395,0.269,0.304,0.228,0.327,0.326,0.097,0.148,0.257,0.212,0.213,0.323,0.351,0.193,-0.079,0.363,-0.091,4.117,2.029,-0.155
PGIM India Low Duration Fund - Direct Plan - Daily Dividend,-0.107,-0.042,-0.04,-0.037,-0.035,-0.033,-0.03,-0.028,-0.025,-0.023,-0.021,-0.018,-0.016,0.016,-0.04,-0.096,-0.023,0.021,0.009,-0.003,-0.015,-0.027,-0.039,-0.051,-0.063,0.063,-0.007,-0.076,0.047,-15.997,1.156,0.92,0.666,0.889,0.626,0.472,0.627,0.428,0.484,-0.656,0.648,0.606,-1.696,0.327,0.525,0.57,0.5,0.396,0.138,0.362,0.447,0.313,0.355,0.28,0.377,0.378,0.15,0.203,0.316,0.272,0.276,0.385,0.421,0.252,-0.008,0.434,-0.059,4.117,2.029,-0.101
PGIM India Low Duration Fund - Direct Plan - Growth,0.73,0.543,0.638,0.485,0.615,0.624,0.742,0.627,0.472,0.553,0.454,0.423,0.486,0.514,0.836,0.221,0.337,0.688,0.711,0.621,0.361,0.601,0.847,0.836,0.619,0.842,0.748,0.198,0.676,-15.996,1.157,0.921,0.668,0.89,0.627,0.473,0.628,0.428,0.484,-0.655,0.649,0.609,-1.693,0.33,0.528,0.573,0.503,0.401,0.142,0.366,0.451,0.316,0.359,0.284,0.382,0.382,0.153,0.207,0.316,0.274,0.277,0.386,0.422,0.253,-0.006,0.436,0.212,4.242,2.06,0.356
PGIM India Low Duration Fund - Direct Plan - Monthly Dividend,0.104,-0.084,-0.039,0.466,-0.057,0.624,0.071,-0.045,0.472,-0.074,-0.174,-0.205,-0.144,-0.117,0.205,0.221,-0.294,0.687,0.078,0.621,-0.271,-0.032,0.847,0.204,-0.01,0.211,0.747,-0.428,0.675,-15.996,1.156,0.92,0.667,0.888,0.627,0.472,0.627,0.428,0.483,-0.854,0.647,0.607,-1.696,0.327,0.525,0.569,0.5,0.395,-0.326,-0.105,-0.021,0.312,-0.112,-0.139,0.378,-0.04,-0.239,-0.035,0.316,0.271,-0.051,0.086,0.102,0.252,-0.267,0.115,-0.06,4.167,2.041,-0.102
PGIM India Low Duration Fund - Direct Plan - Weekly Dividend,0.028,-0.005,0.048,0.036,0.037,-0.054,0.031,0.101,-0.043,-0.001,0.014,0.001,0.024,-0.006,0.117,-0.197,0.069,-0.097,0.044,0.005,0.036,0.003,0.134,0.043,-0.052,0.076,0.015,-0.098,0.274,-15.997,1.156,0.921,0.667,0.889,0.627,0.473,0.628,0.427,0.485,-0.655,0.649,0.609,-1.671,0.383,0.561,0.594,0.517,0.392,0.13,0.347,0.44,0.349,0.388,0.327,0.432,0.381,0.166,0.68,0.305,0.276,0.293,0.389,0.423,0.254,-0.005,0.437,-0.027,4.131,2.033,-0.046
