scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
IDFC Flexi Cap Fund-Direct Plan-Growth,6.16,3.167,4.506,4.464,-0.393,1.162,1.364,2.214,-0.968,4.689,-0.475,4.804,-1.59,-2.104,-4.369,4.286,-1.781,-0.801,4.499,2.904,-9.505,-3.626,3.662,0.387,-2.067,-0.066,7.441,-0.998,2.085,-0.838,-7.505,1.475,7.987,2.54,-0.519,1.778,3.119,-2.986,-26.364,13.725,4.035,2.897,4.677,5.436,0.204,1.525,11.247,6.062,1.908,2.686,2.19,-1.084,5.427,3.051,3.585,3.614,1.78,3.645,-2.432,3.528,-1.417,-5.159,3.877,-3.435,-3.569,-4.022,1.087,27.709,5.264,0.715
L&T Flexicap Fund-Direct Plan-Growth,8.839,2.317,2.974,2.422,2.196,-1.38,3.341,0.184,-1.503,5.149,-1.196,4.198,3.862,-4.826,-2.596,5.339,-1.613,-1.995,4.335,1.192,-7.121,-2.008,2.72,0.248,-2.648,-0.325,7.31,-0.929,2.934,-1.834,-6.616,0.342,4.137,4.553,0.306,0.575,0.019,-3.614,-26.254,19.202,4.189,6.744,7.11,3.412,0.853,0.796,9.337,6.508,0.839,4.626,1.258,-0.129,5.836,2.585,1.008,3.768,2.683,3.219,-3.136,0.345,-0.97,-5.142,5.331,-2.225,-3.744,-3.982,1.111,29.621,5.443,0.707
Navi Flexi Cap Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,3.335,3.526,-7.774,-2.611,3.768,1.097,-0.133,0.681,7.167,0.232,2.856,-1.678,-6.754,0.793,6.254,3.775,2.16,0.823,0.148,-2.955,-27.212,15.813,4.426,6.055,5.017,3.683,0.598,0.754,11.75,6.844,0.927,4.977,0.936,1.238,4.627,2.853,2.806,4.886,2.78,4.167,-4.565,3.533,-2.194,-5.767,5.966,-1.79,-4.571,-4.283,1.228,37.14,6.094,0.698
Tata Flexi Cap Fund-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,-1.462,-0.976,3.265,0.854,-3.934,-0.65,6.596,-0.126,2.202,-0.442,-5.381,0.438,9.575,4.607,0.579,0.275,1.217,-0.466,-18.983,13.098,2.226,3.778,4.879,2.89,2.358,0.552,8.272,6.443,-3.101,2.253,0.287,0.414,6.181,2.176,2.462,5.312,3.287,0.228,-3.104,0.73,-4.006,-6.872,4.32,-0.843,-2.784,-4.606,0.957,24.553,4.955,0.669
Motilal Oswal Flexi cap Fund Direct Plan-Growth Option,10.144,3.265,5.018,3.946,1.398,-1.085,6.847,2.658,-2.539,2.419,-0.626,4.032,1.33,-3.762,-0.268,3.455,-3.023,-1.733,4.855,0.292,-8.532,-4.521,6.447,0.684,-3.092,0.004,6.305,-0.001,3.637,-1.132,-8.753,3.286,6.301,3.389,-1.111,1.907,0.566,-2.861,-26.947,16.229,5.207,6.852,7.325,3.756,0.081,1.009,11.066,6.087,0.994,3.547,1.303,-3.026,5.172,2.618,3.015,3.361,0.329,-0.599,-4.101,1.647,-2.306,-6.862,5.046,-1.922,-2.827,-4.065,1.078,31.92,5.65,0.661
LIC MF Flexi Cap Fund-Direct Plan-Growth,6.123,1.447,2.326,2.244,-1.44,-1.878,5.341,-3.199,-2.223,14.267,-2.024,3.47,-0.467,-6.185,-3.933,4.683,-2.924,-1.209,5.557,4.528,-4.586,-4.977,4.834,0.814,0.5,-2.275,5.812,0.032,3.379,-0.8,-5.458,2.464,4.988,4.013,0.649,1.945,1.128,-3.836,-22.579,14.519,2.869,5.472,2.707,3.654,-0.092,1.854,9.75,6.561,-0.724,1.794,1.538,-2.184,6.408,3.225,1.417,4.764,0.821,2.966,-3.113,1.634,-0.751,-6.21,4.304,-2.68,-2.119,-4.401,0.978,26.614,5.159,0.657
Taurus Flexi Cap Fund - Direct Plan - Growth,7.522,2.416,3.415,2.486,2.004,-0.865,4.61,-0.283,-2.214,5.532,-2.883,3.678,1.13,-4.087,-3.232,4.002,-4.491,-0.124,6.29,2.496,-7.326,-4.665,3.891,0.278,0.143,-1.471,6.37,-0.281,1.652,-1.393,-9.773,-0.328,6.266,3.733,0.417,1.006,-3.416,-2.604,-26.238,16.3,3.347,5.182,5.605,3.435,0.987,0.855,9.197,6.704,0.946,3.152,1.254,-0.19,5.585,1.89,2.06,3.945,1.785,2.793,-4.569,0.497,1.664,-5.461,7.866,-0.945,-5.305,-7.29,0.833,30.421,5.516,0.523
ICICI Prudential Flexicap Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4.374,2.095,2.239,-3.011,1.505,0.551,-4.749,4.73,-1.382,-0.469,-1.887,0.366,8.121,2.85,0.445
Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.541,2.518,2.603,-2.611,2.722,0.215,-7.249,6.512,-0.676,-3.888,-4.674,-0.181,16.586,4.073,-0.154
Mahindra Manulife Flexi Cap Yojana - Direct Plan -Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389,1.608,1.863,-3.593,2.703,-0.233,-5.781,6.73,-2.644,-3.443,-4.289,-0.608,13.836,3.72,-0.566
