scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
BANK OF INDIA Manufacturing & Infrastructure Fund-Quarterly IDCW,8.4,1.06,4.116,3.538,-0.742,-2.541,1.745,1.939,-1.097,10.146,2.452,5.433,-0.613,-0.37,-4.585,3.737,-6.831,-10.106,5.465,1.541,-15.566,-2.963,1.187,-8.674,-5.205,2.023,0.755,-2.624,6.383,-7.574,-11.317,-0.22,8.511,2.786,-2.108,0.719,5.097,-1.392,-21.16,14.194,2.204,6.583,3.834,8.325,0.469,-0.746,13.27,5.272,2.146,9.883,2.762,1.034,4.852,5.656,4.501,0.75,2.748,1.727,0.11,4.267,-0.777,-7.62,5.076,-0.644,-5.465,-5.781
BANK OF INDIA Manufacturing & Infrastructure Fund-Regular IDCW,8.388,1.052,-1.487,3.443,-0.722,-0.655,1.739,1.994,0.768,10.198,2.484,7.03,-0.623,-0.399,-14.416,3.783,-6.781,-8.498,5.452,1.558,-13.914,-2.939,1.177,-8.602,-5.249,2.006,0.936,-2.69,6.418,-7.946,-11.348,-0.328,8.584,2.772,-2.098,0.715,5.071,-1.385,-21.154,14.121,2.309,6.546,3.814,8.283,0.56,-0.835,13.195,5.329,2.134,9.83,2.748,1.029,4.759,5.694,2.058,0.705,2.741,1.759,0.056,4.292,-0.791,-7.656,4.997,-0.547,-5.458,-5.773
BANK OF INDIA Tax Advantage Fund-Direct Plan- Growth,8.15,2.488,4.416,3.436,1.399,1.296,5.012,3.741,-0.113,7.163,2.124,5.778,-0.5,-3.271,-2.076,5.429,-3.799,-4.264,5.761,0.825,-14.711,-2.335,2.687,0.843,-3.212,0.236,7.249,-0.53,4.321,-1.732,-7.779,2.741,7.615,4.676,0.539,2.202,3.782,0.53,-21.81,15.494,1.554,4.225,7.618,6.206,3.289,1.792,11.295,6.787,-0.369,6.848,1.732,3.383,4.039,5.755,5.074,3.504,1.228,1.445,-2.013,3.508,-4.31,-5.615,5.219,-1.939,-5.221,-4.592
BANK OF INDIA Tax Advantage Fund-Direct Plan-IDCW,8.119,2.427,4.381,3.407,1.353,1.294,4.99,3.697,-0.109,7.117,2.091,-0.925,-0.534,-3.252,-7.277,5.44,-3.768,-4.278,5.723,0.83,-14.712,-2.32,2.677,0.838,-3.199,0.215,7.238,-0.559,4.343,-1.759,-7.746,2.743,7.597,4.668,0.553,2.205,3.776,0.527,-21.799,15.516,1.577,4.22,7.601,5.151,1.554,1.763,11.293,6.814,-0.387,2.717,1.727,3.396,4.042,0.836,2.877,3.509,1.22,1.451,-2.025,3.527,-4.312,-5.605,5.203,-1.937,-5.214,-4.613
BANK OF INDIA Tax Advantage Fund-ECO Plan-Growth,8.088,2.438,4.359,3.369,1.341,1.259,4.973,3.662,-0.154,7.098,2.084,5.742,-0.545,-3.302,-2.094,5.414,-3.815,-4.306,5.734,0.796,-14.735,-2.338,2.638,0.788,-3.244,0.202,7.196,-0.583,4.279,-1.766,-7.815,2.726,7.56,4.643,0.522,2.169,3.737,0.481,-21.828,15.465,1.531,4.183,7.56,6.157,3.249,1.765,11.256,6.74,-0.408,6.802,1.655,3.351,3.971,5.702,5.022,3.454,1.166,1.385,-2.082,3.446,-4.368,-5.681,5.138,-2.001,-5.293,-4.669
BANK OF INDIA Tax Advantage Fund-ECO Plan-IDCW,8.105,2.418,-19.717,3.363,1.338,1.251,4.966,3.694,-0.187,7.081,2.088,5.739,-0.537,-3.296,-13.24,5.412,-3.788,-4.312,5.724,0.747,-14.711,-2.329,2.608,-13.965,-3.196,0.174,-1.648,-0.529,4.263,-2.62,-7.813,2.731,7.6,4.651,0.494,2.135,3.778,0.471,-21.845,15.439,1.538,4.189,7.528,-1.592,-1.294,1.803,11.237,6.759,-0.408,1.914,1.677,3.298,4.01,-0.428,3.503,3.458,1.133,1.401,-2.099,3.442,-4.369,-5.64,5.13,-2.009,-5.303,-4.667
BANK OF INDIA Tax Advantage Fund-Regular Plan- Growth,8.034,2.379,4.28,3.336,1.281,1.198,4.892,3.607,-0.24,7.023,2.008,5.668,-0.621,-3.367,-2.155,5.364,-3.877,-4.355,5.659,0.73,-14.79,-2.417,2.584,0.726,-3.294,0.128,7.102,-0.615,4.221,-1.81,-7.876,2.653,7.528,4.571,0.461,2.117,3.677,0.44,-21.878,15.42,1.485,4.13,7.509,6.129,3.191,1.702,11.199,6.7,-0.463,6.76,1.602,3.28,3.957,5.68,5.009,3.437,1.158,1.354,-2.092,3.421,-4.383,-5.698,5.111,-2.022,-5.309,-4.687
BANK OF INDIA Tax Advantage Fund-Regular Plan-IDCW,8.013,2.352,-19.682,3.285,1.337,1.181,4.901,3.634,-0.25,7.036,1.978,-5.876,-0.606,-3.354,-14.763,5.351,-3.873,-4.388,5.606,0.717,-14.817,-2.353,2.582,0.753,-3.32,0.172,7.112,-0.64,4.194,-1.767,-7.897,2.632,7.525,4.588,0.446,2.077,3.706,0.426,-21.857,15.356,1.477,4.123,7.531,4.191,0.902,1.718,11.202,6.716,-0.458,0.575,1.6,3.262,3.963,-4.752,0.055,3.461,1.15,1.344,-2.091,3.438,-4.43,-5.677,5.128,-2.015,-5.283,-4.715
BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW
BANK OF INDIA Liquid Fund- Direct Plan- Growth,0.557,0.514,0.577,0.536,0.559,0.543,0.564,0.554,0.537,0.546,0.528,0.556,0.555,0.514,0.712,0.572,0.595,0.618,0.633,0.612,0.579,0.639,0.624,0.633,0.604,0.526,0.655,0.579,0.615,0.541,0.538,0.495,0.457,0.467,0.419,0.424,0.41,0.391,0.536,0.439,0.435,0.317,0.25,0.283,0.253,0.278,0.262,0.255,0.241,0.253,0.291,0.261,0.266,0.273,0.275,0.281,0.25,0.273,0.316,0.309,0.296,0.278,0.331,0.3,0.332,0.404
BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,-0.076,0.001,0.058,0.03,-0.071,0.019,-0.056,0.052,0.039,-0.073,0.035,-0.071,0.055,0.003,0.151,-0.19,0.064,0.043,-0.083,0.056,-0.099,0.061,0.039,-0.077,0.054,-0.003,-0.074,0.019,0.081,-0.1,0.055,0.036,-0.069,0.025,0.043,-0.061,0.038,0.007,-0.012,-0.044,-0.019,0.031,0.008,-0.024,0.018,0.016,-0.049,0.043,-0.043,BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,0.021,0.02,-0.033,0.02,0.026,-0.038,0.015,-0.032,0.021,0.034,-0.044,-0.001,0.045,-0.007,-0.02,0.042
