scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,10.451,3.861,3.403,4.207,2.954,0.781,8.703,-1.205,-2.336,2.507,-0.06,1.646,4.086,-6.098,-0.113,6.119,1.145,-1.254,9.909,2.378,-12.32,-0.026,5.103,4.821,-3.599,1.166,10.181,0.934,5.24,-1.275,-7.48,-1.653,7.633,4.97,4.211,1.504,0.46,-0.103,-34.886,17.027,2.304,9.216,0.761,9.887,-3.354,5.635,16.776,5.083,3.459,7.227,-3.096,-2.022,7.46,-0.307,0.715,4.706,0.824,4.79,-8.587,-1.811,3.391,-6.372,6.175,-1.379,-2.322,-4.789
SBI Banking & Financial Services Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.459,3.859,3.403,4.208,2.955,0.781,8.703,-1.202,-2.338,2.507,-0.06,1.646,4.084,-6.093,-10.734,6.118,1.145,-1.254,9.908,2.375,-12.316,-0.021,5.103,4.817,-3.593,1.165,10.171,0.928,5.228,-1.275,-7.475,-1.65,7.63,4.969,4.21,1.504,0.467,-0.103,-34.861,17.031,2.304,9.213,0.76,9.897,-3.353,5.634,16.773,5.082,3.459,7.226,-3.096,-2.022,7.46,-0.307,0.715,4.706,0.824,4.789,-8.586,-1.811,3.391,-6.371,6.175,-1.379,-2.321,-4.789
SBI BANKING & FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,10.343,3.762,3.305,4.125,2.859,0.689,8.603,-1.298,-2.423,2.411,-0.154,1.55,3.986,-6.177,-0.223,5.996,1.008,-1.378,9.775,2.253,-12.413,-0.14,4.999,4.735,-3.678,1.133,10.092,0.848,5.154,-1.345,-7.559,-1.74,7.538,4.868,4.119,1.412,0.364,-0.187,-34.929,16.912,2.209,9.099,0.656,9.795,-3.436,5.546,16.67,4.971,3.346,7.129,-3.201,-2.124,7.349,-0.411,0.616,4.608,0.733,4.691,-8.677,-1.911,3.294,-6.457,6.052,-1.475,-2.413,-4.877
SBI Banking & Financial Services Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.344,3.762,3.304,4.127,2.86,0.689,8.604,-1.298,-2.423,2.412,-0.153,1.552,3.985,-6.175,-10.422,5.996,1.008,-1.379,9.775,2.253,-12.412,-0.14,5.0,4.735,-3.678,1.133,10.09,0.847,5.157,-1.345,-7.559,-1.741,7.537,4.869,4.118,1.412,0.363,-0.187,-34.917,16.915,2.21,9.1,0.656,9.794,-3.435,5.546,16.67,4.971,3.341,7.13,-3.2,-2.128,7.349,-0.411,0.616,4.609,0.733,4.691,-8.678,-1.91,3.296,-6.457,6.051,-1.475,-2.414,-4.877
SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,7.388,5.348,5.52,1.539,3.751,2.63,-4.213,2.806,-1.145,5.592,6.916,4.456,1.19,-1.989,-1.943,6.262,-3.828,-2.153,3.324,5.134,-9.356,-3.104,3.994,1.469,-0.537,-3.196,7.775,-2.819,-1.905,-3.988,-5.448,2.381,8.908,4.681,-1.083,-0.221,2.877,-2.783,-28.015,10.846,3.452,3.895,0.079,11.802,-1.073,-0.108,14.374,13.803,2.631,2.202,-0.786,0.526,7.544,2.686,1.638,0.807,5.337,5.036,1.991,-0.674,2.894,-5.197,7.531,1.437,-3.192,-3.165
SBI Consumption Opportunities Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),7.387,5.348,5.52,1.539,3.75,2.629,-4.214,2.807,-1.147,5.593,6.918,4.452,1.191,-1.988,-17.009,6.262,-3.829,-2.144,3.32,5.134,-9.355,-3.099,3.997,1.468,-0.537,-3.195,7.774,-2.82,-1.906,-3.988,-5.447,2.381,8.909,4.681,-1.083,-0.22,2.877,-2.782,-28.016,10.844,3.453,3.895,0.081,11.803,-1.073,-0.109,14.368,13.803,2.634,2.2,-0.787,0.526,7.544,2.686,1.638,0.807,5.337,5.036,1.991,-0.674,2.894,-5.197,7.531,1.437,-3.192,-3.165
SBI CONSUMPTION OPPORTUNITIES FUND - REGULAR - GROWTH,7.324,5.279,5.446,1.466,3.665,2.564,-4.283,2.728,-1.216,5.51,6.829,4.363,1.101,-2.073,-2.05,6.139,-3.951,-2.271,3.192,5.008,-9.453,-3.212,3.893,1.369,-0.641,-3.272,7.688,-2.89,-1.956,-4.061,-5.528,2.295,8.823,4.587,-1.165,-0.315,2.78,-2.852,-28.077,10.748,3.365,3.799,-0.002,11.716,-1.154,-0.185,14.274,13.701,2.537,2.112,-0.872,0.44,7.453,2.595,1.553,0.721,5.249,4.943,1.897,-0.768,2.806,-5.272,7.434,1.351,-3.27,-3.239
SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),7.322,5.278,5.446,1.467,3.665,2.563,-4.283,2.728,-1.216,5.51,6.828,4.364,1.101,-2.073,-17.124,6.144,-3.948,-2.27,3.193,5.007,-9.452,-3.211,3.892,1.369,-0.641,-3.272,7.688,-2.89,-1.956,-4.061,-5.528,2.295,8.823,4.587,-1.165,-0.315,2.78,-2.851,-28.057,10.748,3.364,3.798,-0.001,11.715,-1.152,-0.186,14.274,13.701,2.537,2.112,-0.872,0.441,7.453,2.595,1.553,0.721,5.249,4.944,1.863,-0.768,2.806,-5.272,7.434,1.351,-3.269,-3.239
SBI Healthcare Opportunities Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),-0.254,6.097,0.107,-4.781,-7.079,3.614,0.667,-4.374,0.354,4.785,-0.218,4.744,-3.604,-2.722,-19.858,4.391,-10.073,3.615,2.688,12.099,-4.177,-3.04,0.538,-1.139,0.599,-2.891,3.671,1.059,-6.84,-2.564,-1.909,2.416,-2.902,9.409,2.207,0.153,4.48,2.275,-9.943,24.008,1.445,1.754,12.791,2.121,6.613,-1.751,8.166,6.083,-2.807,0.658,1.64,8.297,4.998,3.215,1.392,-0.645,0.448,-3.986,-1.268,6.593,-5.871,-3.621,4.642,0.037,-7.12,-1.299
SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,-0.253,6.098,0.108,-4.782,-7.081,3.616,0.667,-4.372,0.36,4.786,-0.222,4.743,-3.603,-2.726,-5.024,4.394,-10.073,3.633,2.687,12.099,-4.182,-3.041,0.539,-1.143,0.599,-2.886,3.671,1.059,-6.84,-2.565,-1.909,2.416,-2.902,9.409,2.208,0.153,4.48,2.276,-9.943,24.014,1.443,1.754,12.792,2.121,6.613,-1.751,8.166,6.082,-2.807,0.657,1.64,8.297,4.998,3.215,1.392,-0.645,0.448,-3.986,-1.267,6.593,-5.871,-3.621,4.642,0.037,-7.119,-1.299
