scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Sundaram Small Cap Fund Direct Plan - Growth,7.111,3.779,6.78,6.172,-1.375,3.562,1.215,-1.555,-1.153,9.587,0.729,7.928,-4.253,-3.945,-5.414,6.0,-7.299,-8.942,2.035,0.529,-14.171,-0.776,1.21,3.648,-5.398,0.836,10.745,-3.982,4.13,-3.195,-14.746,0.773,5.339,6.241,-1.671,0.448,7.609,-0.608,-32.494,13.0,2.705,10.583,4.491,9.612,4.427,1.18,13.674,8.623,-0.5,9.196,2.724,4.894,6.27,7.596,5.307,0.362,5.793,1.143,-0.825,4.617,-2.208,-8.345,6.713,-2.225,-5.427,-4.036
Sundaram Small Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),7.111,1.483,6.78,6.172,-3.328,3.562,1.216,-3.484,-1.153,9.588,-1.12,7.928,-4.254,-3.944,-12.836,6.001,-9.259,-8.942,2.035,-1.879,-14.171,-0.776,-1.645,3.654,-5.398,-1.28,10.745,-3.982,2.129,-3.195,-14.747,-0.914,5.339,6.241,-1.671,0.448,7.609,-0.608,-32.494,13.001,2.706,10.582,4.491,9.612,4.427,1.18,13.674,8.623,-0.501,9.196,2.724,4.893,6.27,-6.563,5.307,0.363,5.793,1.143,-0.825,4.617,-2.208,-8.343,6.714,-2.225,-5.429,-4.038
Sundaram Small Cap Fund Institutional Plan - Growth,7.111,3.778,6.778,6.169,-1.375,3.561,1.216,-1.556,-1.154,9.587,0.728,7.928,-4.253,-3.945,-5.414,6.0,-7.299,-8.942,2.034,0.528,-14.171,-0.778,1.21,3.649,-5.399,0.833,10.746,-3.983,4.129,-3.196,-14.747,0.772,5.338,6.24,-1.671,0.448,7.608,-0.609,-32.495,12.998,2.703,10.582,4.489,9.611,4.428,1.179,13.673,8.624,-0.501,9.197,2.724,4.892,6.271,7.597,5.308,0.363,5.794,1.143,-0.825,4.618,Sundaram Small Cap Fund Institutional Plan - Growth,Sundaram Small Cap Fund Institutional Plan - Growth,Sundaram Small Cap Fund Institutional Plan - Growth,Sundaram Small Cap Fund Institutional Plan - Growth,Sundaram Small Cap Fund Institutional Plan - Growth,Sundaram Small Cap Fund Institutional Plan - Growth
Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),7.111,1.54,6.78,6.169,-3.278,3.561,1.216,-3.434,-1.154,9.587,-1.07,7.928,-4.254,-3.945,-12.634,6.0,-9.202,-8.942,2.035,-1.807,-14.171,-0.776,-1.559,3.648,-5.399,-1.215,10.744,-3.982,2.192,-3.195,-14.746,-0.86,5.338,6.241,-1.671,0.449,7.609,-0.608,-32.493,13.0,2.705,10.584,4.491,9.611,4.428,1.179,13.674,8.623,-0.5,9.196,2.724,4.892,6.27,-6.095,5.307,0.363,5.793,1.142,-0.825,4.617,Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Small Cap Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW)
Sundaram Small Cap Fund Regular Plan - Growth,7.091,3.722,6.713,6.113,-1.438,3.499,1.152,-1.616,-1.21,9.523,0.666,7.857,-4.32,-4.003,-5.469,5.938,-7.356,-8.994,1.974,0.47,-14.215,-0.827,1.144,3.574,-5.471,0.766,10.656,-4.056,4.049,-3.274,-14.816,0.693,5.257,6.157,-1.738,0.374,7.53,-0.669,-32.544,12.918,2.632,10.494,4.407,9.523,4.341,1.099,13.583,8.534,-0.585,9.113,2.635,4.809,6.183,7.508,5.222,0.279,5.707,1.057,-0.906,4.527,-2.301,-8.428,6.604,-2.318,-5.525,-4.134
Sundaram Small Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),7.092,1.376,6.713,6.115,-3.44,3.5,1.152,-3.597,-1.21,9.523,-1.236,7.856,-4.32,-4.003,-13.137,5.939,-9.39,-8.993,1.974,-2.034,-14.214,-0.827,-1.833,3.574,-5.472,-1.449,10.656,-4.056,1.948,-3.274,-14.816,-1.086,5.257,6.157,-1.738,0.374,7.53,-0.669,-32.544,12.918,2.632,10.494,4.407,9.523,4.341,1.099,13.583,8.534,-0.585,9.113,2.635,4.809,6.184,-7.693,5.222,0.279,5.707,1.057,-0.906,4.527,-2.301,-8.428,6.604,-2.318,-5.525,-4.134
Sundaram Select Focus Direct Plan - Growth,7.512,2.413,4.476,2.484,3.214,-0.678,5.647,-0.384,-1.768,4.345,-1.513,3.513,3.78,-4.575,-1.354,5.178,-0.095,0.34,5.659,2.872,-5.711,-5.079,4.513,0.171,-0.493,-0.734,7.695,0.533,3.264,-0.583,-5.894,0.571,4.871,4.65,1.966,0.404,0.272,-1.926,-25.724,18.419,4.535,4.089,5.012,4.751,-1.354,1.507,10.011,7.425,3.309,3.288,0.131,-1.971,5.849,1.995,2.174,6.974,0.85,2.64,-4.038,-0.707,Sundaram Select Focus Direct Plan - Growth,Sundaram Select Focus Direct Plan - Growth,Sundaram Select Focus Direct Plan - Growth,Sundaram Select Focus Direct Plan - Growth,Sundaram Select Focus Direct Plan - Growth,Sundaram Select Focus Direct Plan - Growth
Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),7.511,-1.48,4.475,2.484,-0.536,-0.678,5.646,-2.136,-1.768,4.345,-3.213,3.512,3.78,-4.575,-8.226,5.178,-1.927,0.339,5.659,1.121,-5.712,-5.079,2.552,0.171,-0.493,-2.655,7.695,0.533,1.388,-0.584,-5.895,-1.061,4.871,4.65,1.966,-1.208,0.273,-1.926,-25.723,18.419,4.534,4.089,5.012,4.752,-1.354,1.507,10.012,7.426,3.31,3.288,0.131,-8.583,5.849,1.995,2.174,6.974,0.85,2.64,-4.038,-0.707,Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)
Sundaram Select Focus Institutional Plan - Growth,7.511,2.413,4.475,2.484,3.214,-0.678,5.647,-0.384,-1.768,4.345,-1.513,3.513,3.78,-4.575,-1.354,5.178,-0.095,0.34,5.659,2.872,-5.711,-5.079,4.513,0.171,-0.493,-0.734,7.695,0.533,3.264,-0.583,-5.894,0.571,4.871,4.65,1.966,0.404,0.272,-1.926,-25.724,18.419,4.535,4.089,5.012,4.751,-1.354,1.507,10.011,7.425,3.309,3.288,0.131,-1.972,5.849,1.995,2.173,6.974,0.85,2.64,-4.038,-0.707,Sundaram Select Focus Institutional Plan - Growth,Sundaram Select Focus Institutional Plan - Growth,Sundaram Select Focus Institutional Plan - Growth,Sundaram Select Focus Institutional Plan - Growth,Sundaram Select Focus Institutional Plan - Growth,Sundaram Select Focus Institutional Plan - Growth
Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),7.517,-1.427,4.478,2.488,-0.481,-0.675,5.652,-2.106,-1.765,4.348,-3.183,3.519,3.786,-4.57,-8.115,5.181,-1.897,0.342,5.661,1.202,-5.709,-5.085,2.591,0.175,-0.488,-2.616,7.699,0.535,1.423,-0.581,-5.894,-1.03,4.871,4.651,1.968,0.495,Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW)
Sundaram Select Focus Regular Plan - Growth,7.499,2.364,4.42,2.439,3.159,-0.733,5.586,-0.474,-1.855,4.25,-1.648,3.349,3.612,-4.716,-1.49,5.028,-0.246,0.2,5.502,2.719,-5.838,-5.221,4.44,0.116,-0.554,-0.789,7.629,0.473,3.207,-0.64,-5.953,0.514,4.814,4.586,1.91,0.344,0.204,-1.983,-25.777,18.338,4.461,4.007,4.928,4.667,-1.434,1.427,9.924,7.336,3.227,3.213,0.05,-2.048,5.766,1.913,2.093,6.888,0.77,2.556,-4.115,-0.768,Sundaram Select Focus Regular Plan - Growth,Sundaram Select Focus Regular Plan - Growth,Sundaram Select Focus Regular Plan - Growth,Sundaram Select Focus Regular Plan - Growth,Sundaram Select Focus Regular Plan - Growth,Sundaram Select Focus Regular Plan - Growth
Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),7.499,-1.595,4.42,2.439,-0.661,-0.733,5.586,-2.263,-1.856,4.25,-3.389,3.35,3.612,-4.716,-8.578,5.029,-2.145,0.2,5.502,0.895,-5.838,-5.221,2.386,0.116,-0.554,-2.808,7.628,0.474,1.229,-0.64,-5.952,-1.211,4.814,4.586,1.91,-1.365,0.204,-1.982,-25.778,18.338,4.462,4.006,4.928,4.667,-1.434,1.428,9.924,7.336,3.228,3.213,0.05,-8.66,5.766,1.914,2.093,6.887,0.77,2.556,-4.115,-0.769,Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Select Focus Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
Sundaram Financial Services Opportunities Fund Direct Plan - Growth,10.366,4.014,3.086,3.724,2.381,-0.038,6.257,-2.78,-1.974,5.454,-1.302,1.192,5.243,-7.74,-3.019,5.006,2.819,-2.868,4.19,1.668,-11.306,-0.224,5.854,2.169,-2.443,-1.254,10.557,0.957,6.265,0.924,-7.748,-0.119,7.641,4.269,5.058,2.505,-1.364,-2.201,-33.26,16.584,2.44,9.386,-0.728,10.207,-3.918,4.827,18.519,5.014,4.281,5.935,-2.514,-2.178,8.065,-0.979,1.695,5.722,0.449,5.069,-5.774,-2.868,3.03,-6.018,6.021,-3.417,-1.897,-5.163
Sundaram Financial Services Opportunities Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),10.366,4.014,3.086,1.172,2.38,-0.038,6.258,-2.781,-4.286,5.454,-1.302,1.192,5.242,-7.739,-12.463,5.005,2.819,-2.868,4.191,1.668,-13.604,-0.224,5.854,2.168,-2.443,-1.254,7.747,0.957,6.264,0.924,-7.748,-0.119,4.088,4.269,5.058,2.504,-1.364,-2.201,-35.703,16.584,2.441,9.385,-0.728,10.207,-3.918,4.828,18.518,5.014,4.281,5.935,-2.514,-2.178,8.066,-7.844,1.695,5.722,0.449,5.069,-5.774,-2.868,3.03,-6.017,6.021,-3.417,-1.897,-5.163
Sundaram Financial Services Opportunities Fund Institutional Plan - Growth,10.366,4.014,3.086,3.724,2.38,-0.038,6.258,-2.781,-1.974,5.454,-1.302,1.192,5.242,-7.739,-3.018,5.006,2.819,-2.868,4.19,1.668,-11.306,-0.224,5.854,2.169,-2.443,-1.254,10.557,0.957,6.264,0.924,-7.748,-0.119,7.641,4.269,5.058,2.505,-1.364,-2.201,-33.26,16.585,2.44,9.385,-0.729,10.207,-3.918,4.828,18.518,5.014,4.281,5.935,-2.514,-2.179,8.066,-0.979,1.695,5.722,0.449,5.069,-5.774,-2.868,3.03,-6.017,6.021,-3.417,-1.897,-5.163
Sundaram Financial Services Opportunities Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),10.365,4.014,3.086,1.186,2.379,-0.039,6.256,-2.785,-4.259,5.449,-1.307,1.187,5.238,-7.743,-12.342,5.004,2.817,-2.869,4.189,1.665,-13.521,-0.226,5.855,2.171,-2.439,-1.252,7.794,0.957,6.263,0.922,-7.749,-0.12,4.145,4.267,5.055,2.502,-1.366,-2.203,-35.66,16.588,2.442,9.386,-0.727,10.209,-3.917,4.83,18.516,5.012,4.28,5.934,-2.515,-2.18,8.065,-7.847,1.696,5.721,0.448,5.068,-5.776,-2.868,3.029,-6.018,6.02,-3.418,-1.898,-5.164
Sundaram Financial Services Opportunities Fund Regular Plan - Growth,10.32,3.958,3.019,3.658,2.298,-0.11,6.174,-2.884,-2.056,5.368,-1.44,1.025,5.069,-7.877,-3.157,4.952,2.76,-2.918,4.132,1.611,-11.349,-0.275,5.806,2.122,-2.491,-1.297,10.502,0.916,6.215,0.865,-7.805,-0.166,7.59,4.214,5.007,2.448,-1.421,-2.236,-33.294,16.451,2.371,9.293,-0.817,10.087,-4.029,4.724,18.393,4.893,4.156,5.821,-2.642,-2.288,7.938,-1.094,1.582,5.6,0.328,4.947,-5.883,-2.99,2.911,-6.116,5.891,-3.524,-2.007,-5.279
Sundaram Financial Services Opportunities Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),10.319,3.958,3.019,1.022,2.298,-0.11,6.173,-2.884,-4.433,5.368,-1.44,1.025,5.069,-7.877,-12.959,4.951,2.76,-2.918,4.131,1.611,-13.757,-0.274,5.806,2.122,-2.491,-1.297,7.546,0.916,6.215,0.866,-7.805,-0.165,3.837,4.214,5.007,2.449,-1.422,-2.236,-35.887,16.451,2.371,9.294,-0.816,10.087,-4.028,4.724,18.394,4.893,4.156,5.821,-2.642,-2.288,7.938,-7.953,1.582,5.601,0.328,4.947,-5.883,-2.99,2.911,-6.116,5.891,-3.524,-2.007,-5.279
Sundaram Infrastructure Advantage Fund Direct Plan - Growth,8.44,2.382,5.543,5.839,-1.482,0.053,2.301,0.808,1.258,6.493,3.607,6.764,-3.426,-3.901,-5.123,4.062,-5.784,-7.215,4.208,2.811,-11.314,-2.012,3.546,2.636,-3.911,1.158,9.847,-1.994,6.216,-1.686,-11.785,-2.641,8.383,3.631,-0.73,-0.412,3.56,-3.198,-30.148,14.768,4.261,8.952,1.33,8.639,-1.614,0.2,13.403,8.381,3.423,10.731,1.456,-1.293,6.474,3.535,5.259,0.86,4.585,4.912,-3.215,2.87,0.43,-8.733,6.153,0.653,-4.846,-5.897
Sundaram Infrastructure Advantage Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),8.439,2.382,5.542,4.094,-1.482,0.053,2.301,0.807,1.258,6.493,3.607,6.763,-3.426,-3.901,-5.123,4.062,-5.784,-7.215,4.208,2.81,-12.766,-2.012,3.546,2.635,-3.911,1.158,8.033,-1.994,6.216,-1.686,-11.785,-2.641,4.801,3.631,-0.73,-0.411,3.56,-3.198,-32.84,14.767,4.261,8.951,1.329,8.639,-1.614,0.2,13.402,8.381,3.423,10.731,1.456,-1.294,6.474,-3.63,5.259,0.86,4.585,4.912,-3.215,2.87,0.43,-8.733,6.153,0.653,-4.846,-5.897
Sundaram Infrastructure Advantage Fund Regular Plan - Growth,8.424,2.337,5.492,5.792,-1.531,0.006,2.252,0.73,1.18,6.406,3.478,6.609,-3.571,-4.026,-5.239,4.009,-5.836,-7.261,4.151,2.755,-11.356,-2.06,3.506,2.598,-3.949,1.122,9.803,-2.03,6.175,-1.723,-11.821,-2.677,8.344,3.589,-0.766,-0.45,3.521,-3.229,-30.174,14.738,4.223,8.912,1.294,8.601,-1.649,0.167,13.364,8.343,3.385,10.694,1.416,-1.332,6.427,3.493,5.217,0.818,4.543,4.868,-3.255,2.828,0.39,-8.767,6.109,0.615,-4.889,-5.937
Sundaram Infrastructure Advantage Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),8.424,2.337,5.492,4.019,-1.531,0.007,2.252,0.73,1.18,6.406,3.478,6.609,-3.571,-4.026,-5.239,4.009,-5.836,-7.262,4.151,2.755,-12.855,-2.061,3.506,2.597,-3.949,1.122,7.925,-2.03,6.176,-1.723,-11.821,-2.678,4.624,3.588,-0.766,-0.451,3.521,-3.229,-32.98,14.738,4.224,8.912,1.294,8.602,-1.649,0.167,13.364,8.343,3.385,10.694,1.416,-1.332,6.426,-3.669,5.217,0.818,4.543,4.868,-3.254,2.827,0.39,-8.767,6.109,0.615,-4.889,-5.937
Sundaram Rural and Consumption Fund Direct Plan - Growth,7.621,1.96,3.658,4.178,2.109,-0.323,2.644,1.343,-2.799,6.805,-0.965,4.103,-1.748,-3.227,-2.734,5.394,-2.105,-3.35,4.56,3.596,-10.962,-2.134,4.45,2.275,-3.441,0.098,5.967,-1.637,2.107,-2.651,-7.546,2.607,6.605,4.652,-0.165,0.162,4.565,-2.798,-26.482,14.091,6.329,4.803,3.349,6.891,-0.419,-0.722,12.038,6.349,-0.285,3.848,-0.224,-2.474,5.372,4.258,2.067,3.714,2.175,2.959,-4.844,0.891,-0.264,-3.4,2.362,1.192,-2.196,-1.975
