scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Motilal Oswal Long Term Equity Fund Direct - IDCW Payout,8.871,2.043,1.665,4.131,2.243,0.246,5.814,0.86,-1.849,1.715,0.979,5.057,2.045,-8.477,-0.887,3.32,-1.458,-2.342,4.263,-0.772,-7.951,-4.155,4.281,0.77,-4.384,1.169,4.588,-0.931,2.547,-0.317,-7.338,3.264,8.221,4.825,0.65,1.578,2.883,-2.51,-28.753,14.253,4.129,6.134,3.206,4.766,-1.27,2.218,11.956,7.723,2.84,5.185,-2.664,-1.359,5.692,4.617,5.132,4.992,-0.864,1.752,-2.745,1.512,-0.136,-7.217,-4.795,-1.377,-2.783,-4.64
Motilal Oswal Long Term Equity Fund Regular - IDCW Payout,8.739,1.929,1.445,4.018,2.126,0.141,5.702,0.748,-1.946,1.607,0.866,4.934,1.927,-8.817,-1.004,3.236,-1.547,-2.43,4.158,-0.872,-8.037,-4.251,4.18,0.679,-4.475,1.074,4.344,-1.043,2.431,-0.426,-7.443,3.155,8.11,4.713,0.552,1.471,2.774,-2.595,-28.827,14.133,4.018,6.007,3.083,4.645,-1.386,2.107,11.835,7.603,2.725,5.078,-10.42,-1.456,5.584,4.506,5.023,4.879,-0.97,1.641,-2.845,1.412,-0.227,-7.296,-4.882,-1.47,-2.876,-4.737
Motilal Oswal Ultra Short Term Fund (MOFUSTF) -Direct Plan- Growth,0.444,0.46,0.495,0.383,0.501,0.499,0.539,0.5,0.407,0.466,0.465,0.364,0.414,0.487,0.679,0.29,0.395,0.677,0.575,0.548,-5.947,0.638,0.604,-7.371,0.583,0.501,0.545,0.355,0.534,0.463,0.557,0.424,0.496,0.506,0.39,0.374,0.378,0.35,0.585,0.538,0.309,0.27,0.23,0.25,0.289,0.267,0.279,0.264,0.198,0.28,0.262,0.213,0.26,0.229,0.304,0.318,0.202,0.25,0.261,0.237,0.216,0.262,0.325,0.204,0.049,0.375
Motilal Oswal Ultra Short Term Fund (MOFUSTF)-Regular Plan- Growth,0.405,0.425,0.457,0.35,0.463,0.463,0.503,0.46,0.371,0.429,0.428,0.329,0.375,0.451,0.644,0.259,0.356,0.641,0.536,0.51,-5.981,0.636,0.605,-7.372,0.583,0.502,0.545,0.355,0.535,0.463,0.557,0.424,0.496,0.506,0.391,0.374,0.379,0.35,0.586,0.538,0.31,0.271,0.229,0.25,0.288,0.267,0.279,0.255,0.129,0.218,0.197,0.157,0.196,0.163,0.239,0.251,0.137,0.181,0.207,0.196,0.176,0.227,0.285,0.166,0.009,0.335
Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,-0.073,-0.02,-0.017,-0.017,Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,0.002,0.047,-0.001,-0.038,-0.002,-0.001,Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,0.053,-0.057,0.001,-0.001,Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,0.001,-6.016,0.638,0.604,-7.371,0.584,0.5,0.545,0.354,0.535,0.462,0.557,0.424,0.496,0.505,0.391,0.375,0.378,0.351,0.585,0.539,0.31,0.27,0.23,0.251,0.288,0.268,0.279,0.263,0.199,0.279,0.263,0.213,0.259,0.228,0.303,0.317,0.202,0.25,0.261,0.237,0.216,0.262,0.324,0.2,0.049,0.376
Motilal Oswal Ultra Short Term Fund Direct - IDCW Fortnightly Reinvestment,-0.16,-0.032,0.07,-0.028,0.066,-0.013,-0.036,0.044,-0.025,-0.11,0.012,0.001,-0.076,0.021,0.126,-0.196,0.099,-0.026,-0.103,0.015,-5.947,0.637,0.605,-7.372,0.584,0.502,0.544,0.355,0.535,0.463,0.557,0.424,0.495,0.505,0.391,0.374,0.378,0.35,0.586,0.538,0.31,0.271,0.229,0.251,0.288,0.269,0.28,0.266,0.2,0.283,0.268,0.216,0.265,0.235,0.308,0.323,0.207,0.254,0.265,0.237,0.215,0.262,0.325,0.202,0.047,0.376
Motilal Oswal Ultra Short Term Fund Direct - IDCW Quarterly Payout/Reinvestment,0.444,0.46,0.495,0.381,0.501,0.499,0.54,0.499,0.407,0.467,0.465,-1.018,0.414,0.487,0.679,-1.256,0.394,0.676,0.575,0.547,-5.947,0.637,0.604,-7.372,0.584,0.501,0.546,0.355,0.535,0.462,0.556,0.425,0.496,0.505,0.391,0.374,0.379,0.351,0.585,0.538,0.309,0.27,0.231,0.25,0.289,0.267,0.279,0.264,0.198,0.28,0.262,0.216,0.259,0.229,0.303,0.318,0.202,0.25,0.261,0.236,0.216,0.262,0.325,0.209,0.048,0.376
Motilal Oswal Ultra Short Term Fund Direct - IDCW Weekly Reinvestment,-0.011,-0.031,0.072,0.034,0.065,-0.008,0.066,0.017,-0.014,0.034,0.012,-0.106,0.031,0.021,0.124,-0.261,0.099,-0.022,0.047,0.015,-5.947,0.638,0.604,-7.371,0.583,0.502,0.545,0.355,0.535,0.463,0.556,0.425,0.496,0.506,0.39,0.375,0.379,0.35,0.585,0.537,0.309,0.27,0.231,0.251,0.288,0.267,0.28,0.263,0.197,0.28,0.262,0.214,0.259,0.229,0.304,0.318,0.202,0.25,0.261,0.237,0.216,0.262,0.324,0.207,0.049,0.376
Motilal Oswal Ultra Short Term Fund Direct Plan - IDCW Monthly Payout/Reinvestment,-0.041,-0.033,0.496,0.381,0.066,0.499,0.064,0.019,0.408,0.033,0.012,-0.106,0.031,0.01,0.679,-0.501,0.099,0.678,0.047,0.549,-5.947,0.638,0.604,-7.372,0.583,0.501,0.544,0.354,0.536,0.462,0.557,0.425,0.497,0.506,0.39,0.375,0.379,0.351,0.585,0.538,0.309,0.27,0.23,0.25,0.289,0.268,0.279,0.262,0.198,0.28,0.263,0.214,0.259,0.229,0.303,0.318,0.202,0.249,0.262,0.236,0.216,0.262,0.324,0.198,0.049,0.375
Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,-0.087,-0.018,-0.016,-0.008,Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,0.004,0.051,-0.007,-0.026,0.001,-0.001,Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,0.054,-0.051,-0.001,0.001,Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,-6.045,0.636,0.604,-7.374,0.584,0.501,0.546,0.354,0.535,0.462,0.524,0.424,0.496,0.505,0.391,0.374,0.379,0.35,0.584,0.538,0.31,0.271,0.23,0.251,0.288,0.268,0.279,0.254,0.13,0.218,0.197,0.16,0.196,0.163,0.24,0.251,0.137,0.181,0.207,0.196,0.177,0.226,0.285,0.167,0.009,0.335
