scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Templeton India Value Fund - Direct - Growth,6.352,3.93,3.069,2.909,1.417,-0.986,6.374,0.192,-0.67,4.763,-0.626,3.49,0.589,-4.196,-4.115,5.394,-3.255,-3.489,5.225,2.781,-9.599,-4.412,3.695,1.004,-2.441,1.856,8.194,-2.8,1.144,-2.463,-9.419,-1.829,3.414,6.542,0.691,0.732,-0.205,-6.423,-28.365,17.826,6.792,5.998,4.399,8.634,-2.844,1.657,16.926,5.765,8.718,9.802,-1.324,-2.063,9.209,3.947,2.153,2.712,5.392,4.508,-3.904,-1.018,3.653,-5.705,5.15,-0.398,-2.393,-4.491
Templeton India Value Fund - Direct - IDCW ,6.349,3.927,3.066,2.906,1.413,-0.99,6.37,0.189,-0.673,4.76,-0.63,-4.649,0.586,-4.199,-4.118,5.391,-3.258,-3.491,5.223,2.778,-9.601,-4.414,3.693,-8.63,-2.443,1.854,8.191,-2.802,1.142,-2.465,-9.421,-1.831,3.412,6.541,0.689,-7.546,-0.206,-6.424,-28.367,17.824,6.79,5.996,4.397,8.632,-2.846,1.655,16.924,5.763,0.385,9.799,-1.326,-2.065,9.207,3.944,2.15,2.709,5.389,4.505,-3.907,-8.291,3.651,-5.707,5.148,-0.4,-2.395,-4.494
Templeton India Value Fund - Growth Plan,6.285,3.869,3.009,2.861,1.356,-1.045,6.309,0.125,-0.73,4.697,-0.689,3.415,0.521,-4.254,-4.169,5.335,-3.316,-3.55,5.157,2.717,-9.65,-4.468,3.635,0.938,-2.505,1.793,8.119,-2.861,1.081,-2.522,-9.48,-1.891,3.354,6.459,0.616,0.647,-0.284,-6.486,-28.427,17.727,6.708,5.907,4.313,8.55,-2.918,1.582,16.838,5.681,8.63,9.727,-1.396,-2.13,9.134,3.872,2.082,2.645,5.323,4.433,-3.974,-1.09,3.578,-5.768,5.067,-0.473,-2.474,-4.575
Templeton India Value Fund - IDCW ,6.285,3.869,3.009,2.861,1.356,-1.045,6.309,0.125,-0.73,4.697,-0.689,-5.029,0.521,-4.254,-4.169,5.335,-3.316,-3.55,5.156,2.718,-9.65,-4.468,3.635,-9.168,-2.504,1.793,8.119,-2.861,1.081,-2.522,-9.48,-1.891,3.354,6.459,0.616,-8.15,-0.284,-6.486,-28.428,17.727,6.708,5.908,4.313,8.551,-2.918,1.582,16.838,5.682,-0.368,9.727,-1.396,-2.13,9.134,3.872,2.082,2.645,5.323,4.432,-3.973,-9.058,3.578,-5.768,5.067,-0.473,-2.474,-4.575
Franklin India Focused Equity Fund - Direct - Growth,8.803,2.727,2.149,3.145,1.731,-0.894,4.211,-1.557,-1.766,10.534,-0.23,3.455,0.615,-6.18,-3.464,1.839,1.047,-2.739,6.176,3.371,-7.241,-2.056,1.607,2.953,-1.376,-0.028,9.896,0.721,4.283,-1.925,-8.856,-1.658,4.447,5.444,3.624,-0.589,-0.252,-4.618,-26.315,16.946,5.966,7.994,0.118,7.053,-6.001,4.292,15.178,7.364,6.865,7.473,-1.154,-0.859,9.876,0.871,3.104,3.683,3.238,3.952,-3.986,0.637,2.616,-6.417,5.284,-3.096,-2.172,-3.191
Franklin India Focused Equity Fund - Direct - IDCW ,8.803,2.727,2.149,3.145,1.731,-0.894,4.211,-8.782,-1.766,10.534,-0.23,3.455,0.615,-6.18,-3.464,1.839,1.047,-2.739,6.175,-5.052,-7.241,-2.056,1.607,2.953,-1.376,-0.028,9.896,0.721,4.283,-1.925,-8.856,-8.667,4.447,5.444,3.624,-0.59,-0.252,-4.618,-26.316,16.947,5.966,7.994,0.118,0.001,-6.001,4.292,15.177,7.364,6.865,7.473,-1.154,-0.859,9.876,0.87,3.104,3.683,-3.168,3.952,-3.986,0.637,2.616,-6.417,5.284,-3.096,-2.173,-3.191
Franklin India Focused Equity Fund - Growth Plan,8.692,2.63,2.049,3.064,1.638,-0.979,4.123,-1.647,-1.847,10.437,-0.323,3.354,0.517,-6.263,-3.544,1.759,0.953,-2.831,6.07,3.279,-7.311,-2.14,1.519,2.859,-1.467,-0.117,9.785,0.633,4.203,-1.989,-8.923,-1.726,4.381,5.364,3.553,-0.661,-0.323,-4.672,-26.368,16.865,5.896,7.92,0.053,6.986,-6.061,4.227,15.103,7.286,6.783,7.4,-1.226,-0.922,9.807,0.804,3.038,3.618,3.173,3.886,-4.047,0.575,2.553,-6.47,5.218,-3.152,-2.238,-3.255
Franklin India Focused Equity Fund - IDCW ,8.692,2.63,2.049,3.064,1.638,-0.979,4.123,-9.281,-1.847,10.436,-0.323,3.355,0.517,-6.262,-3.544,1.76,0.954,-2.831,6.071,-5.761,-7.311,-2.139,1.519,2.859,-1.467,-0.117,9.784,0.633,4.203,-1.989,-8.923,-9.379,4.381,5.364,3.553,-0.661,-0.323,-4.672,-26.368,16.865,5.896,7.92,0.053,-0.836,-6.061,4.227,15.104,7.286,6.783,7.399,-1.226,-0.922,9.807,0.804,3.038,3.618,-4.048,3.885,-4.047,0.575,2.553,-6.469,5.218,-3.152,-2.238,-3.255
Franklin Asian Equity Fund - Direct - Growth,6.951,0.913,1.698,1.728,3.714,2.067,4.391,-0.092,2.144,3.298,-1.178,2.129,6.69,-2.961,-2.808,0.261,1.297,-2.579,-0.133,1.606,-1.085,-9.774,-0.519,-5.963,10.928,2.209,2.222,2.11,-7.971,7.157,-2.084,-0.515,0.748,4.424,2.368,5.055,-2.5,-1.795,-14.009,10.647,4.747,6.7,8.155,3.39,-1.717,5.507,6.519,4.572,6.266,1.704,-3.763,1.118,0.548,-0.649,-6.861,0.409,-1.887,4.095,-3.832,-1.649,-1.925,-2.071,-3.468,-5.075,0.987,-1.839
Franklin Asian Equity Fund - Direct - IDCW ,6.93,0.897,1.679,1.712,3.697,2.052,4.375,-0.106,2.131,3.283,-8.857,2.114,6.677,-2.972,-2.818,0.252,1.287,-2.586,-0.141,1.598,-1.092,-9.781,-0.526,-5.968,10.92,2.202,2.217,2.103,-7.976,7.152,-2.089,-0.52,0.743,4.419,2.363,-1.474,-2.504,-1.798,-13.942,10.643,4.744,6.696,8.152,3.387,-1.719,5.505,6.516,0.161,6.263,1.697,-3.764,1.116,0.547,-0.65,-6.862,0.409,-1.888,4.094,-3.832,-6.194,-1.926,-2.071,-3.469,-5.075,0.987,-1.84
