scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
L&T Emerging Businesses Fund - Regular Plan - Growth,9.409,4.883,4.885,5.576,3.092,0.606,3.491,0.972,-0.407,8.501,0.572,6.208,-1.72,-1.333,-3.978,4.952,-5.485,-5.078,4.599,2.47,-11.57,0.108,0.91,1.714,-5.18,0.339,6.197,-3.933,1.145,-2.392,-9.885,0.247,4.76,3.488,-1.098,0.737,2.884,-5.06,-30.933,12.172,4.774,9.066,2.681,10.357,4.69,-1.508,14.66,5.927,0.743,11.378,2.714,5.277,5.75,8.387,6.733,-1.04,6.582,1.568,0.44,6.546,-1.469,-8.394,6.861,-0.982,-4.808,-4.195
L&T Emerging Businesses Fund - Regular Plan - IDCW,9.41,4.879,4.885,5.577,3.093,0.606,3.491,0.971,-0.407,-0.642,0.572,6.206,-1.721,-1.332,-3.975,4.949,-5.485,-5.079,4.6,2.47,-11.568,-7.49,0.913,1.715,-5.178,0.337,6.196,-3.931,1.149,-2.394,-9.885,0.251,4.759,-3.633,-1.099,0.731,2.886,-5.058,-30.933,12.17,4.778,9.064,2.684,10.364,4.686,-1.509,14.667,5.928,0.743,11.378,2.714,5.275,5.749,8.39,6.733,-1.041,6.582,-3.315,0.441,6.544,-1.47,-8.395,6.861,-0.985,-4.805,-4.198
L&T India Value Fund-Direct Plan-Growth,8.61,3.467,2.827,4.738,0.148,0.006,3.624,0.886,-2.473,7.113,-1.96,5.034,1.266,-4.278,-4.323,5.53,-4.77,-3.161,6.017,3.399,-8.265,-2.122,1.963,0.481,-2.793,-0.178,8.181,-1.371,3.504,-1.915,-7.992,-0.281,3.699,5.228,0.853,1.061,1.684,-3.945,-29.898,19.85,5.855,6.868,7.319,5.498,1.643,0.17,12.279,5.45,3.286,6.575,1.141,-0.19,6.161,3.813,4.369,3.022,3.09,4.303,-5.313,3.849,0.698,-6.668,6.381,-2.768,-5.085,-5.487
L&T India Value Fund-Direct Plan-IDCW,8.611,3.465,2.826,4.736,0.146,-5.043,3.626,0.885,-2.472,7.114,-1.96,5.037,1.263,-4.276,-4.321,5.53,-4.767,-7.764,6.016,3.4,-8.267,-2.121,1.961,0.483,-2.795,-0.176,8.179,-1.371,3.503,-1.915,-7.991,-0.282,3.695,5.227,0.855,1.062,1.684,-3.945,-29.896,19.85,5.856,6.868,7.322,5.496,1.646,0.169,12.28,5.451,3.286,6.575,1.141,-0.19,6.163,-1.238,4.368,3.02,3.089,4.304,-5.313,3.849,0.697,-6.668,6.382,-2.769,-5.085,-10.323
L&T India Value Fund-Regular Plan-Growth,8.542,3.402,2.76,4.678,0.076,-0.059,3.553,0.81,-2.536,7.041,-2.03,4.958,1.192,-4.343,-4.385,5.463,-4.834,-3.226,5.946,3.328,-8.327,-2.181,1.882,0.402,-2.877,-0.261,8.059,-1.443,3.429,-1.983,-8.064,-0.365,3.623,5.141,0.781,0.985,1.599,-4.009,-29.958,19.752,5.774,6.783,7.233,5.418,1.563,0.091,12.193,5.367,3.206,6.501,1.06,-0.266,6.08,3.728,4.286,2.938,3.008,4.218,-5.387,3.768,0.623,-6.733,6.295,-2.84,-5.161,-5.561
L&T India Value Fund-Regular Plan-IDCW,8.541,3.404,2.762,4.675,0.08,-6.398,3.55,0.813,-2.538,7.042,-2.032,4.957,1.192,-4.343,-4.384,5.461,-4.834,-9.549,5.944,3.328,-8.327,-2.182,1.882,0.404,-2.877,-0.262,8.058,-1.443,3.428,-1.983,-8.064,-0.362,3.624,5.141,0.78,0.985,1.6,-4.012,-29.96,19.755,5.773,6.782,7.231,5.414,1.564,0.093,12.193,5.367,3.207,6.502,1.061,-0.268,6.078,-1.364,4.283,2.94,3.005,4.219,-5.387,3.768,0.624,-6.735,6.296,-2.838,-5.161,-10.49
L&T Business Cycles Fund - Direct Plan - Growth,9.994,1.067,4.902,4.503,0.47,-1.837,3.866,1.024,-1.603,7.229,0.591,4.852,-0.978,-4.274,-3.433,4.082,-4.781,-5.436,4.745,-0.359,-10.976,-0.455,4.205,1.228,-5.199,0.014,9.452,-2.337,7.202,-0.767,-10.149,-1.619,7.628,3.934,-0.97,1.672,3.908,-2.467,-32.042,16.005,4.971,7.236,3.587,6.934,1.022,0.141,14.962,4.431,2.898,9.783,0.084,-1.561,5.555,2.641,3.808,2.555,2.806,3.593,-3.933,2.123,0.427,-5.994,5.638,-1.538,-2.139,-6.412
L&T Business Cycles Fund - Direct Plan - IDCW,9.994,1.067,4.902,4.503,0.47,-1.837,-2.7,1.026,-1.606,7.226,0.588,4.86,-0.98,-4.272,-3.435,4.079,-4.779,-5.436,-1.709,-0.367,-10.971,-0.455,4.2,1.223,-5.198,0.016,9.454,-2.343,7.206,-0.77,-10.144,-1.62,7.625,-3.094,-0.971,1.672,3.908,-2.468,-32.038,16.005,4.977,7.234,3.592,6.933,1.024,0.147,14.957,4.425,2.902,9.785,0.084,-1.561,5.56,2.642,-2.45,2.548,2.809,3.592,-3.93,2.116,0.427,-5.995,5.634,-1.537,-2.141,-6.409
L&T Business Cycles Fund - Regular Plan - Growth,9.932,1.026,4.838,4.456,0.419,-1.89,3.813,0.974,-1.659,7.174,0.533,4.798,-1.034,-4.325,-3.488,4.028,-4.827,-5.485,4.696,-0.419,-11.016,-0.503,4.143,1.153,-5.268,-0.05,9.362,-2.404,7.131,-0.835,-10.214,-1.689,7.549,3.861,-1.037,1.598,3.832,-2.531,-32.093,15.916,4.897,7.148,3.515,6.853,0.948,0.063,14.876,4.341,2.815,9.698,-0.005,-1.645,5.467,2.549,3.719,2.461,2.715,3.494,-4.022,2.028,0.34,-6.067,5.545,-1.62,-2.225,-6.495
L&T Business Cycles Fund - Regular Plan - IDCW,9.932,1.026,4.838,4.456,0.419,-1.89,-2.875,0.973,-1.653,7.172,0.531,4.801,-1.039,-4.326,-3.481,4.026,-4.833,-5.48,-1.936,-0.413,-11.016,-0.501,4.134,1.152,-5.265,-0.049,9.356,-2.401,7.131,-0.833,-10.209,-1.697,7.555,-1.817,-1.034,1.598,3.835,-2.53,-32.089,15.92,4.895,7.157,3.509,6.858,0.939,0.068,14.873,4.34,2.811,9.707,-0.006,-1.647,5.466,2.552,-2.212,2.464,2.713,3.492,-4.02,2.032,0.342,-6.069,5.54,-1.616,-2.227,-6.496
